run_id,status,arch,technique,fold,seed,stage,best_val_qwk,epochs_trained,epochs_planned,n_params_total,total_wall_seconds,total_energy_wh,config_hash,account,lib_version,finished_iso,val_sessions,val_images,cross_fold_tyre_flags,best_epoch,best_val_f1_macro,best_val_acc,best_val_mae_class,final_val_qwk,final_val_f1_macro,nan_or_inf_batches_total,amp_scale_decreases_total,peak_ram_gb,mean_dataload_frac
a-resnet50-base-f1-s2,completed,resnet50,base,1,2,a,0.9156118143459916,60,60,23512130,2935.9658024311066,53.8549157517952,86e0908dcc3c,acct1,v2,2026-08-27T09:39:30Z,4,128,0,23,0.6071428571428572,0.84375,0.15625,0.9154334038054968,0.6069429429429429,0,1,3.705565184,0.3829625882531715
a-resnet50-base-f0-s1,completed,resnet50,base,0,1,a,1.0,60,60,23512130,2415.6225583553314,44.26947368261934,7e7a9e91427c,acct1,v2,2026-08-27T09:21:27Z,4,186,1,2,1.0,1.0,0.0,1.0,1.0,0,0,2.829733888,0.3508112448687193
a-resnet50-base-f2-s3,failed,resnet50,base,2,3,a,1.0,50,60,23512130,2599.221701860428,47.9717470524642,7a381b1e332f,acct1,v2,2026-08-27T10:15:51Z,4,104,1,2,1.0,1.0,0.0,1.0,1.0,0,1,3.328770048,0.3591703636245852
a-vgg16bn-base-f0-s1,failed,vgg16bn,base,0,1,a,1.0,60,60,134277186,3952.225367069245,82.35737114951796,a530c1862655,acct1,v2,2026-08-27T11:38:22Z,4,186,1,1,1.0,1.0,0.0,0.6552315608919383,0.5432780847145487,0,4,4.497555456,0.0102424193037354
a-vgg16bn-base-f1-s1,completed,vgg16bn,base,1,1,a,0.9118942731277532,60,60,134277186,5050.167018175125,104.39443731519764,b64fdf44283f,acct1,v2,2026-08-27T12:25:59Z,4,128,0,3,0.6203703703703703,0.84375,0.15625,0.5457063711911357,0.3333333333333333,0,5,4.757200896,0.0084255592640196
a-densenet121-base-f2-s1,completed,densenet121,base,2,1,a,1.0,60,60,6955906,3264.220347881317,64.21389260215034,3bd15fdf0d11,acct1,v2,2026-08-27T08:59:13Z,4,104,1,1,1.0,1.0,0.0,1.0,1.0,0,0,3.434778624,0.1734952654338606
a-vgg16bn-base-f2-s3,completed,vgg16bn,base,2,3,a,1.0,60,60,134277186,4991.112264871597,105.65730114568125,03b7309927ed,acct1,v2,2026-08-27T11:55:32Z,4,104,1,1,1.0,1.0,0.0,0.0095238095238093,0.5625,0,5,3.96883968,0.0079380453210959
a-resnext50-base-f0-s2,completed,resnext50,base,0,2,a,1.0,60,60,22984002,2528.3682911396027,48.61489267294465,76f532fd800e,acct1,v2,2026-08-27T10:31:24Z,4,186,1,1,1.0,1.0,0.0,1.0,1.0,0,2,3.820806144,0.2244765818125983
a-vgg16bn-base-f2-s1,completed,vgg16bn,base,2,1,a,1.0,60,60,134277186,5233.203302383423,109.44912535202434,8844677e2174,acct1,v2,2026-08-27T12:55:02Z,4,104,1,1,1.0,1.0,0.0,0.6636582430806257,0.5187420015781342,0,5,4.61545472,0.0093669276822989
a-vgg16bn-base-f2-s2,completed,vgg16bn,base,2,2,a,1.0,60,60,134277186,5378.98631644249,112.15828188294364,bdd0ff78d3be,acct1,v2,2026-08-27T13:12:15Z,4,104,1,2,1.0,1.0,0.0,0.022644927536232,0.1232158988256549,0,6,5.083619328,0.0087222113192854
a-resnext50-base-f1-s3,completed,resnext50,base,1,3,a,0.9210526315789472,60,60,22984002,3015.3092353343964,58.48787030380702,bb8165ad5156,acct1,v2,2026-08-27T10:58:25Z,4,128,0,29,0.6784604263722332,0.859375,0.140625,0.9118942731277532,0.6203703703703703,0,2,3.80721152,0.2326729230814414
