image_id,proxy,sess,fold_id,R,G,B,bright,contrast,sat,sat_p99,blueish,bright_frac,dark_frac,d10,d15,d20,gmean,gp95,lapvar,colstd,colmin,rowstd,y
mileage_100000_plus__session_002__b000__05f72afcb8,high_mileage_proxy,mileage_100000_plus__session_002,0,0.61024624,0.6081476,0.56841874,0.5956042,0.16725415,0.07057514,0.1638355404138565,0.0,0.39453125,0.0,0.1719970703125,0.0927581787109375,0.0348663330078125,1.0082826614379883,2.2370660305023193,3.013798236846924,0.5809203386306763,-1.7027816772460938,0.31028154492378235,2
mileage_100000_plus__session_002__b000__49298988f7,high_mileage_proxy,mileage_100000_plus__session_002,0,0.60532224,0.6038067,0.56264937,0.5905928,0.18248264,0.068495356,0.1729392558336258,0.0,0.417724609375,0.0,0.18194580078125,0.0963134765625,0.037017822265625,0.9652215242385864,2.2728676795959473,2.7833662033081055,0.5741246342658997,-1.9486844539642334,0.3502233922481537,2
mileage_100000_plus__session_004__b000__5a9718850f,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5929152,0.5778464,0.5527047,0.5744887,0.16526394,0.073352985,0.23814666271209717,0.000244140625,0.41015625,0.0,0.1359100341796875,0.0457611083984375,0.0166473388671875,1.076429009437561,2.48649263381958,3.271216630935669,0.3288293778896332,-0.7671866416931152,0.4651925563812256,2
mileage_100000_plus__session_004__b000__ba3565c969,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5973575,0.58157456,0.5559714,0.5783012,0.16219707,0.07309255,0.2542521357536316,0.0,0.413330078125,0.0,0.1383209228515625,0.0462188720703125,0.01513671875,1.0879521369934082,2.498492956161499,3.296424627304077,0.33740898966789246,-0.7257131934165955,0.44972753524780273,2
mileage_100000_plus__session_004__b000__c807ca4bc6,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5998985,0.58449566,0.5610246,0.58180624,0.16552947,0.069435194,0.24999935925006866,0.0,0.427490234375,0.0,0.1368408203125,0.0460968017578125,0.014678955078125,1.0825536251068115,2.4786324501037598,3.285010576248169,0.27800363302230835,-0.7000542879104614,0.4730335772037506,2
mileage_100000_plus__session_004__b000__cf4d9d4714,high_mileage_proxy,mileage_100000_plus__session_004,0,0.59701383,0.58115906,0.5553088,0.5778272,0.16384974,0.0736292,0.26021695137023926,0.0,0.415283203125,0.0,0.133270263671875,0.0447845458984375,0.0157928466796875,1.0854339599609375,2.4811649322509766,3.2870125770568848,0.2948891818523407,-0.6869450211524963,0.46016570925712585,2
mileage_100000_plus__session_004__b000__e16d9f1005,high_mileage_proxy,mileage_100000_plus__session_004,0,0.6012676,0.58531326,0.5592831,0.5819547,0.16411616,0.07328191,0.26206567883491516,0.0,0.427001953125,0.0,0.136138916015625,0.0457916259765625,0.0142364501953125,1.081085443496704,2.4836816787719727,3.273813009262085,0.28164756298065186,-0.6975323557853699,0.47174376249313354,2
mileage_100000_plus__session_004__b001__284caf8a25,high_mileage_proxy,mileage_100000_plus__session_004,0,0.60148597,0.58556795,0.55940276,0.5821522,0.16418569,0.07350628,0.26208797097206116,0.0,0.4267578125,0.0,0.1365966796875,0.0454864501953125,0.0139312744140625,1.0825550556182861,2.476839303970337,3.288485527038574,0.2834874391555786,-0.6798740029335022,0.4711408317089081,2
mileage_100000_plus__session_004__b001__4cd91bfa15,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5975203,0.58170575,0.55587757,0.5783679,0.16199413,0.073358536,0.25702840089797974,0.0,0.413330078125,0.0,0.1383056640625,0.04620361328125,0.0149993896484375,1.0891151428222656,2.5014760494232178,3.2993359565734863,0.33835870027542114,-0.7158418297767639,0.44801148772239685,2
mileage_100000_plus__session_004__b001__daea5ef7c9,high_mileage_proxy,mileage_100000_plus__session_004,0,0.59951746,0.5842017,0.5610208,0.58158,0.16528274,0.069027856,0.24530638754367828,0.0,0.427001953125,0.0,0.1356964111328125,0.04522705078125,0.0142822265625,1.084084153175354,2.484257221221924,3.2973761558532715,0.2794290781021118,-0.7106986045837402,0.47047388553619385,2
mileage_100000_plus__session_004__b002__5aa65ac27d,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5998593,0.5845464,0.5612793,0.581895,0.16565017,0.069091916,0.2453133463859558,0.0,0.427978515625,0.0,0.1345062255859375,0.045257568359375,0.0143585205078125,1.0820962190628052,2.482599973678589,3.2755556106567383,0.2766777276992798,-0.6716719269752502,0.47373902797698975,2
mileage_100000_plus__session_004__b002__8176f71a8a,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5975136,0.5816656,0.555846,0.5783417,0.16206445,0.0730976,0.258441299200058,0.0,0.4130859375,0.0,0.13922119140625,0.0467529296875,0.015472412109375,1.0876775979995728,2.484145402908325,3.296356678009033,0.33366432785987854,-0.7161440849304199,0.45011213421821594,2
mileage_100000_plus__session_004__b002__d6325a61a3,high_mileage_proxy,mileage_100000_plus__session_004,0,0.6017004,0.5857278,0.5595943,0.58234084,0.164232,0.0737257,0.25912174582481384,0.0,0.426513671875,0.0,0.134033203125,0.0444183349609375,0.0142669677734375,1.0830403566360474,2.482091188430786,3.2877912521362305,0.2874443531036377,-0.6963360905647278,0.4727008640766144,2
mileage_100000_plus__session_004__b003__c602e37756,high_mileage_proxy,mileage_100000_plus__session_004,0,0.5978372,0.5819796,0.55609584,0.5786376,0.16234764,0.07334148,0.2605036199092865,0.0,0.4150390625,0.0,0.1393890380859375,0.0475311279296875,0.0153045654296875,1.086515188217163,2.48531174659729,3.2905664443969727,0.3305797576904297,-0.7170064449310303,0.4517197906970978,2
mileage_100000_plus__session_004__b003__cbe83dc90e,high_mileage_proxy,mileage_100000_plus__session_004,0,0.60002303,0.5844909,0.5612496,0.58192116,0.16568051,0.06940314,0.24529895186424255,0.0,0.427734375,0.0,0.134857177734375,0.0441436767578125,0.0145111083984375,1.0833221673965454,2.475515604019165,3.28048038482666,0.2761618494987488,-0.705731213092804,0.4753040075302124,2
mileage_100000_plus__session_004__b003__d6f23711ee,high_mileage_proxy,mileage_100000_plus__session_004,0,0.60163915,0.58570105,0.55962014,0.5823201,0.16433279,0.073714405,0.26016202569007874,0.0,0.42724609375,0.0,0.135162353515625,0.0442657470703125,0.0141754150390625,1.0829064846038818,2.473390817642212,3.287731170654297,0.2825886011123657,-0.6858268976211548,0.47181305289268494,2
