arch,fold,seed,endpoint,epoch,f1,qwk,mae
mobilenetv4,0,1,selected,1,1.0,1.0,0.0
mobilenetv4,0,1,final,60,1.0,1.0,0.0
mobilenetv4,0,2,selected,2,1.0,1.0,0.0
mobilenetv4,0,2,final,60,1.0,1.0,0.0
mobilenetv4,0,3,selected,3,1.0,1.0,0.0
mobilenetv4,0,3,final,60,1.0,1.0,0.0
mobilenetv4,1,1,selected,3,1.0,1.0,0.0
mobilenetv4,1,1,final,60,0.6203703703703703,0.9118942731277532,0.15625
mobilenetv4,1,2,selected,14,0.977165135059872,0.990632318501171,0.015625
mobilenetv4,1,2,final,60,0.6203703703703703,0.9118942731277532,0.15625
mobilenetv4,1,3,selected,13,1.0,1.0,0.0
mobilenetv4,1,3,final,60,0.977165135059872,0.990632318501171,0.015625
mobilenetv4,2,1,selected,1,1.0,1.0,0.0
mobilenetv4,2,1,final,60,1.0,1.0,0.0
mobilenetv4,2,2,selected,3,1.0,1.0,0.0
mobilenetv4,2,2,final,60,1.0,1.0,0.0
mobilenetv4,2,3,selected,4,1.0,1.0,0.0
mobilenetv4,2,3,final,60,1.0,1.0,0.0
resnet50,0,1,selected,2,1.0,1.0,0.0
resnet50,0,1,final,60,1.0,1.0,0.0
resnet50,0,2,selected,2,1.0,1.0,0.0
resnet50,0,2,final,60,1.0,1.0,0.0
resnet50,0,3,selected,2,1.0,1.0,0.0
resnet50,0,3,final,60,1.0,1.0,0.0
resnet50,1,1,selected,3,0.8956561975822778,0.9460122699386504,0.0859375
resnet50,1,1,final,60,0.6203703703703703,0.9118942731277532,0.15625
resnet50,1,2,selected,23,0.6071428571428572,0.9156118143459916,0.15625
resnet50,1,2,final,60,0.6069429429429429,0.9154334038054968,0.15625
resnet50,1,3,selected,11,0.9257918552036198,0.9722863741339492,0.046875
resnet50,1,3,final,60,0.6203703703703703,0.9118942731277532,0.15625
resnet50,2,1,selected,2,1.0,1.0,0.0
resnet50,2,1,final,60,1.0,1.0,0.0
resnet50,2,2,selected,2,1.0,1.0,0.0
resnet50,2,2,final,60,0.6152725153016614,0.7502910360884749,0.3173076923076923
resnet50,2,3,selected,2,1.0,1.0,0.0
resnet50,2,3,final,60,1.0,1.0,0.0
