baseline,fold,acc,balanced_acc,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,f1_low,recall_low,precision_low,support_low,f1_mid,recall_mid,precision_mid,support_mid,f1_high,recall_high,precision_high,support_high,qwk,mae_class,cohen_kappa,mcc,source_revision
colour_probe,0,0.8870967741935484,0.8951211683517895,0.8869585888841344,0.8870967741935484,0.8864240985364014,0.9102564102564102,0.8951211683517895,0.8245614035087719,0.7014925373134329,1.0,67.0,0.8444444444444443,1.0,0.7307692307692307,57.0,0.991869918699187,0.9838709677419355,1.0,62.0,0.9116729229795124,0.11290322580645161,0.8317757009345795,0.8471737383978662,7c5b6461815a78aae589085d0152eaa6ae9995e1
structure_probe,0,0.44086021505376344,0.4502923976608187,0.3544467228677755,0.44086021505376344,0.34048219277421315,0.4578313253012048,0.4502923976608187,0.0,0.0,0.0,67.0,0.5194805194805194,0.3508771929824561,1.0,57.0,0.543859649122807,1.0,0.37349397590361444,62.0,-0.003537944454271802,0.9193548387096774,0.16491106890001722,0.3090176381486297,7c5b6461815a78aae589085d0152eaa6ae9995e1
hog_svm,0,0.8172043010752689,0.8046609059963341,0.7960206460206459,0.8172043010752689,0.805579635418345,0.8482935951379149,0.8046609059963341,0.9692307692307692,0.9402985074626866,1.0,67.0,0.6136363636363635,0.47368421052631576,0.8709677419354839,57.0,0.8051948051948052,1.0,0.6739130434782609,62.0,0.8809353466129457,0.1827956989247312,0.7238910234020259,0.7505853036678016,7c5b6461815a78aae589085d0152eaa6ae9995e1
majority_train_selected,0,0.3602150537634409,0.3333333333333333,0.17654808959156784,0.3602150537634409,0.19078583875217814,0.12007168458781363,0.3333333333333333,0.5296442687747035,1.0,0.3602150537634409,67.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,62.0,2.220446049250313e-16,0.9731182795698925,0.0,0.0,7c5b6461815a78aae589085d0152eaa6ae9995e1
legacy_resnet18_random_15ep_seed1,0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,7c5b6461815a78aae589085d0152eaa6ae9995e1
colour_probe,1,0.515625,0.6666666666666666,0.4640522875816993,0.515625,0.4206495098039216,0.4146341463414634,0.6666666666666666,0.0,0.0,0.0,62.0,0.39215686274509803,1.0,0.24390243902439024,20.0,1.0,1.0,1.0,46.0,0.6253776435045317,0.484375,0.3715552739942984,0.5395561344492246,7c5b6461815a78aae589085d0152eaa6ae9995e1
structure_probe,1,0.171875,0.34782608695652173,0.1191019786910198,0.171875,0.07275613584474885,0.3862433862433862,0.34782608695652173,0.0,0.0,0.0,62.0,0.27397260273972607,1.0,0.15873015873015872,20.0,0.08333333333333333,0.043478260869565216,1.0,46.0,0.040723981900452455,0.828125,0.014812663374963694,0.09075997554844935,7c5b6461815a78aae589085d0152eaa6ae9995e1
hog_svm,1,0.3515625,0.32608695652173914,0.18181818181818185,0.3515625,0.1960227272727273,0.12605042016806722,0.32608695652173914,0.0,0.0,0.0,62.0,0.0,0.0,0.0,20.0,0.5454545454545455,0.9782608695652174,0.37815126050420167,46.0,-0.032258064516129004,1.140625,-0.02627511591962906,-0.05870007306113457,7c5b6461815a78aae589085d0152eaa6ae9995e1
majority_train_selected,1,0.484375,0.3333333333333333,0.21754385964912282,0.484375,0.3161184210526316,0.16145833333333334,0.3333333333333333,0.6526315789473685,1.0,0.484375,62.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,46.0,0.0,0.875,0.0,0.0,7c5b6461815a78aae589085d0152eaa6ae9995e1
legacy_resnet18_random_15ep_seed1,1,0.515625,,0.4640522875816993,,,,,,,,,,,,,,,,,0.6253776435045317,,,,7c5b6461815a78aae589085d0152eaa6ae9995e1
colour_probe,2,0.20192307692307693,0.3409090909090909,0.12321589882565492,0.20192307692307693,0.08134250573274963,0.39805825242718446,0.3409090909090909,0.0,0.0,0.0,40.0,0.3252032520325203,1.0,0.1941747572815534,20.0,0.044444444444444446,0.022727272727272728,1.0,44.0,0.02264492753623204,0.7980769230769231,0.00918273645546374,0.06719889902225755,7c5b6461815a78aae589085d0152eaa6ae9995e1
structure_probe,2,0.9807692307692307,0.9848484848484849,0.976375046142488,0.9807692307692307,0.9810034926313997,0.9696969696969697,0.9848484848484849,1.0,1.0,1.0,40.0,0.9523809523809523,1.0,0.9090909090909091,20.0,0.9767441860465117,0.9545454545454546,1.0,44.0,0.9879406307977736,0.019230769230769232,0.9699769053117783,0.9705568585636892,7c5b6461815a78aae589085d0152eaa6ae9995e1
hog_svm,2,0.9807692307692307,0.9848484848484849,0.9841179807146908,0.9807692307692307,0.9807801387495092,0.9841269841269842,0.9848484848484849,0.975609756097561,1.0,0.9523809523809523,40.0,1.0,1.0,1.0,20.0,0.9767441860465117,0.9545454545454546,1.0,44.0,0.9523809523809523,0.038461538461538464,0.9698025551684086,0.9703662300519021,7c5b6461815a78aae589085d0152eaa6ae9995e1
majority_train_selected,2,0.38461538461538464,0.3333333333333333,0.1851851851851852,0.38461538461538464,0.21367521367521367,0.12820512820512822,0.3333333333333333,0.5555555555555556,1.0,0.38461538461538464,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,44.0,0.0,1.0384615384615385,0.0,0.0,7c5b6461815a78aae589085d0152eaa6ae9995e1
legacy_resnet18_random_15ep_seed1,2,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,7c5b6461815a78aae589085d0152eaa6ae9995e1
