arch,n,f1_mean,f1_min,f1_max,qwk_mean,final_f1,best_epoch,energy_wh,wall_h,spread
mobilenetv4,9,0.9974627927844302,0.977165135059872,1.0,0.99895914650013,0.9131006528667347,4.888888888888889,45.46265694396601,0.7697191359673017,0.022834864940127986
swin_t,9,0.9767276855399462,0.7905491698595147,1.0,0.9924328414680288,0.8347823461921483,11.11111111111111,41.78724688896831,0.6550685689110816,0.20945083014048527
effnetv2s,9,0.9761489933706353,0.8640132669983416,1.0,0.9918938503517403,0.708741048090758,5.111111111111111,56.703884119262156,0.821327602053866,0.13598673300165842
swin_s,9,0.952593121073069,0.6203703703703703,1.0,0.9881336230705825,0.85743507279455,15.88888888888889,52.00434793708402,0.7239479543250283,0.37962962962962965
clip_b16,9,0.9507576351250699,0.8464027245636441,1.0,0.9838394912019572,0.7889671360311462,6.444444444444445,110.76235908003932,1.4370712260405223,0.15359727543635593
resnet50,9,0.9365101011031949,0.6071428571428572,1.0,0.9815456064909546,0.829217355442816,5.444444444444445,54.016364431619195,0.8225184796768943,0.3928571428571428
regnety016,9,0.9349485756240316,0.7011031175059953,1.0,0.982139335274024,0.7408717256977295,9.0,56.264342722015186,0.823083292186996,0.2988968824940047
vit_s,9,0.9323523277457715,0.816259176938102,1.0,0.9583664744889658,0.7585816845732706,5.111111111111111,55.277713857257105,0.8184022170378837,0.18374082306189798
resnext50,9,0.9225973015489828,0.6784604263722332,1.0,0.9792435653789485,0.7656622757415792,5.666666666666667,59.31295763991405,0.8590989864314044,0.32153957362776675
maxvit_t,9,0.9218894854375984,0.6205962059620597,1.0,0.9691122168675333,0.8598157195023481,24.666666666666668,119.55192143702759,1.5927393461819048,0.37940379403794033
dinov2_b,9,0.9127714186984025,0.6203703703703703,1.0,0.97670537195406,0.8837972004278921,13.0,151.85460468410963,2.00221513527411,0.37962962962962965
convnextv2_t,9,0.9089113107200961,0.6203703703703703,1.0,0.9778459528026912,0.9023789062461012,4.777777777777778,109.9909691080656,1.4664383358719908,0.37962962962962965
densenet121,9,0.896602039277195,0.6203703703703703,1.0,0.9738758229999696,0.8385150342307729,7.111111111111111,60.898879234460004,0.8707199797438986,0.37962962962962965
vgg16bn,9,0.8919374595703098,0.6203703703703703,1.0,0.9734296886601,0.45869705737604094,2.4444444444444446,96.9971444453206,1.28381745668841,0.37962962962962965
dinov2_s,9,0.8734567901234568,0.6203703703703703,1.0,0.9706314243759177,0.7884217058647036,2.888888888888889,65.59684460454145,0.9112540503342946,0.37962962962962965
coatnet0,9,0.8053696233056398,0.3787878787878787,1.0,0.8650937577249274,0.7204055707955109,12.666666666666666,43.137414512155175,0.6724937797990845,0.6212121212121213
deit3_s,9,0.7472627227529188,0.5,1.0,0.8906858577209776,0.7285523813497154,4.111111111111111,59.41804919079964,0.8705166439583272,0.5
