kind,group,n,f1_macro,qwk,ece,nll,brier
single,"('densenet121', np.int64(0), np.int64(1))",186,1.0,1.0,0.2396734577994193,0.27869484593646315,0.09620822219780169
single,"('densenet121', np.int64(0), np.int64(2))",186,1.0,1.0,0.226345230174321,0.2619362043985475,0.09024065337057259
single,"('densenet121', np.int64(0), np.int64(3))",186,1.0,1.0,0.26047097515034423,0.3058159363638193,0.11132415806295021
single,"('densenet121', np.int64(1), np.int64(1))",128,0.6203703703703703,0.9118942731277533,0.19059081375598907,1.8247203079720706,0.39017635706249065
single,"('densenet121', np.int64(1), np.int64(2))",128,0.6850192061459667,0.9201773835920177,0.19029451278038323,0.32400067053975357,0.195033154717871
single,"('densenet121', np.int64(1), np.int64(3))",128,0.7640287769784173,0.9328107502799552,0.1501932896208018,0.24783776239385386,0.1298719089908973
single,"('densenet121', np.int64(2), np.int64(1))",104,1.0,1.0,0.24338751916701976,0.2937056967242303,0.12319076118826479
single,"('densenet121', np.int64(2), np.int64(2))",104,1.0,1.0,0.060748766248042776,0.06583920766948359,0.016829547099694028
single,"('densenet121', np.int64(2), np.int64(3))",104,1.0,1.0,0.25401482387230945,0.3246659603994149,0.1663588030739024
single,"('regnety016', np.int64(0), np.int64(1))",186,1.0,1.0,0.22694767450773587,0.26588923584528373,0.09324402174982248
single,"('regnety016', np.int64(0), np.int64(2))",186,1.0,1.0,0.22632774165881575,0.2825539407240653,0.1203269811252235
single,"('regnety016', np.int64(0), np.int64(3))",186,1.0,1.0,0.21480993205501187,0.24848561631221294,0.08443648644386217
single,"('regnety016', np.int64(1), np.int64(1))",128,0.7134340631102889,0.9243604004449388,0.12077345955185592,0.38738922469910286,0.2185128821981203
single,"('regnety016', np.int64(1), np.int64(2))",128,1.0,1.0,0.06773330084979534,0.07354160588918164,0.015951234921625472
single,"('regnety016', np.int64(1), np.int64(3))",128,0.7011031175059953,0.9148936170212766,0.13389435037970543,0.43060645069869985,0.2536350758722329
single,"('regnety016', np.int64(2), np.int64(1))",104,1.0,1.0,0.0537621952020205,0.0575586967846401,0.010400484076309204
single,"('regnety016', np.int64(2), np.int64(2))",104,1.0,1.0,0.04548291919323113,0.04768111740442556,0.0065090279693186155
single,"('regnety016', np.int64(2), np.int64(3))",104,1.0,1.0,0.060815585347322336,0.07448534353378135,0.040437398214579076
single,"('resnet50', np.int64(0), np.int64(1))",186,1.0,1.0,0.16220330999743554,0.17985115373252,0.04724503240956493
single,"('resnet50', np.int64(0), np.int64(2))",186,1.0,1.0,0.15764947283652522,0.1749103308178244,0.04876748399741684
single,"('resnet50', np.int64(0), np.int64(3))",186,1.0,1.0,0.153846816350055,0.16975667870695238,0.042951496252756426
single,"('resnet50', np.int64(1), np.int64(1))",128,0.8956561975822778,0.9460122699386503,0.27521535754203796,0.5421945011685637,0.3162489148510087
single,"('resnet50', np.int64(1), np.int64(2))",128,0.6071428571428572,0.9156118143459916,0.10287057701498274,0.6643651447048735,0.33874143198961526
single,"('resnet50', np.int64(1), np.int64(3))",128,0.9257918552036198,0.9722863741339491,0.19335673958994448,0.3041291505591759,0.15651282671808736
single,"('resnet50', np.int64(2), np.int64(1))",104,1.0,1.0,0.14330131445939728,0.15973896775066618,0.04393995561738107
single,"('resnet50', np.int64(2), np.int64(2))",104,1.0,1.0,0.16463672140469918,0.18675071759272477,0.058204715568330075
single,"('resnet50', np.int64(2), np.int64(3))",104,1.0,1.0,0.14675853344110346,0.1618547312942114,0.04196194345382288
seed_ensemble,"('densenet121', np.int64(0))",186,1.0,1.0,0.2421632210413615,0.2813342292003152,0.09748951363395122
seed_ensemble,"('densenet121', np.int64(1))",128,0.6203703703703703,0.9118942731277533,0.24075832986272871,0.40455810708982604,0.21095428074118497
seed_ensemble,"('densenet121', np.int64(2))",104,1.0,1.0,0.18605036861621418,0.21814888791432968,0.08517716194536223
seed_ensemble,"('regnety016', np.int64(0))",186,1.0,1.0,0.22269511863749514,0.26323820485411864,0.09424829684808825
seed_ensemble,"('regnety016', np.int64(1))",128,0.9525462962962963,0.9813953488372094,0.17153551476076245,0.26179088491570823,0.12483122463009884
seed_ensemble,"('regnety016', np.int64(2))",104,1.0,1.0,0.053353568109182195,0.057878472185854186,0.013290553880973601
seed_ensemble,"('resnet50', np.int64(0))",186,1.0,1.0,0.15789986457875982,0.17450341108516987,0.0453699577741946
seed_ensemble,"('resnet50', np.int64(1))",128,0.8021220220532935,0.9420289855072463,0.24146335781551898,0.4467394250723722,0.24063524423362082
seed_ensemble,"('resnet50', np.int64(2))",104,1.0,1.0,0.15156552711358437,0.16880984207536243,0.04648266427715246
architecture_ensemble,"(0,)",186,1.0,1.0,0.20758606573586824,0.23745821731909708,0.07389130170086101
architecture_ensemble,"(1,)",128,0.8078760025232045,0.9413754227733935,0.18578455853275955,0.3623430305550496,0.18253500320377014
architecture_ensemble,"(2,)",104,1.0,1.0,0.13032315671443942,0.144861411631477,0.040349770337411134
