run_id,verified,reason
c-convnextv2_t-s4b_r1_sampler_classweighted-f1-s1,True,complete
c-convnextv2_t-s4b_r1_sampler_classweighted-f1-s2,True,complete
c-convnextv2_t-s4b_r1_sampler_classweighted-f1-s3,True,complete
c-mobilenetv4-s4b_r1_sampler_classweighted-f1-s1,True,complete
c-mobilenetv4-s4b_r1_sampler_classweighted-f1-s2,True,complete
c-mobilenetv4-s4b_r1_sampler_classweighted-f1-s3,True,complete
c-convnextv2_t-s4b_r1_transfer_random-f1-s1,True,complete
c-convnextv2_t-s4b_r1_transfer_random-f1-s2,True,complete
c-convnextv2_t-s4b_r1_transfer_random-f1-s3,True,complete
c-mobilenetv4-s4b_r1_transfer_random-f1-s1,True,complete
c-mobilenetv4-s4b_r1_transfer_random-f1-s2,True,complete
c-mobilenetv4-s4b_r1_transfer_random-f1-s3,True,complete
c-convnextv2_t-s4b_r1_sampler_uniform-f1-s1,True,complete
c-convnextv2_t-s4b_r1_sampler_uniform-f1-s2,True,complete
c-convnextv2_t-s4b_r1_sampler_uniform-f1-s3,True,complete
c-mobilenetv4-s4b_r1_sampler_uniform-f1-s1,True,complete
c-mobilenetv4-s4b_r1_sampler_uniform-f1-s2,True,complete
c-mobilenetv4-s4b_r1_sampler_uniform-f1-s3,True,complete
