run_id,arch,factor,fold,seed,selected_delta,final_delta
c-convnextv2_t-s4b_r1_sampler_classweighted-f1-s1,convnextv2_t,sampler_classweighted,1,1,0.0,0.0
c-convnextv2_t-s4b_r1_sampler_classweighted-f1-s2,convnextv2_t,sampler_classweighted,1,2,0.0,0.0
c-convnextv2_t-s4b_r1_sampler_classweighted-f1-s3,convnextv2_t,sampler_classweighted,1,3,0.0377040793197464,0.07187688082212706
c-mobilenetv4-s4b_r1_sampler_classweighted-f1-s1,mobilenetv4,sampler_classweighted,1,1,-0.04745370370370361,0.03375328375328379
c-mobilenetv4-s4b_r1_sampler_classweighted-f1-s2,mobilenetv4,sampler_classweighted,1,2,0.022834864940127986,0.37962962962962965
c-mobilenetv4-s4b_r1_sampler_classweighted-f1-s3,mobilenetv4,sampler_classweighted,1,3,-0.06053894425987438,-0.35679476468950166
c-convnextv2_t-s4b_r1_transfer_random-f1-s1,convnextv2_t,transfer_random,1,1,-0.3121266427718041,-0.36988707846205776
c-convnextv2_t-s4b_r1_transfer_random-f1-s2,convnextv2_t,transfer_random,1,2,-0.29052105410872076,-0.42429193899782136
c-convnextv2_t-s4b_r1_transfer_random-f1-s3,convnextv2_t,transfer_random,1,3,-0.6830507993298692,-0.3679243174349537
c-mobilenetv4-s4b_r1_transfer_random-f1-s1,mobilenetv4,transfer_random,1,1,-0.20583241048357326,-0.15631808278867104
c-mobilenetv4-s4b_r1_transfer_random-f1-s2,mobilenetv4,transfer_random,1,2,-0.5131128474781728,-0.15631808278867104
c-mobilenetv4-s4b_r1_transfer_random-f1-s3,mobilenetv4,transfer_random,1,3,-0.3955671699574138,-0.5131128474781728
c-convnextv2_t-s4b_r1_sampler_uniform-f1-s1,convnextv2_t,sampler_uniform,1,1,0.0,0.0
c-convnextv2_t-s4b_r1_sampler_uniform-f1-s2,convnextv2_t,sampler_uniform,1,2,0.0,0.0
c-convnextv2_t-s4b_r1_sampler_uniform-f1-s3,convnextv2_t,sampler_uniform,1,3,0.0,0.030811808984154254
c-mobilenetv4-s4b_r1_sampler_uniform-f1-s1,mobilenetv4,sampler_uniform,1,1,0.0,-0.15556850556850554
c-mobilenetv4-s4b_r1_sampler_uniform-f1-s2,mobilenetv4,sampler_uniform,1,2,-0.13076241049622794,0.0
c-mobilenetv4-s4b_r1_sampler_uniform-f1-s3,mobilenetv4,sampler_uniform,1,3,-0.0780034235916588,-0.35679476468950166
