,,bbox_map_50_95,bbox_map_50_95,bbox_map_50_95,bbox_map_50,bbox_map_50,bbox_map_50,segm_map_50_95,segm_map_50_95,segm_map_50_95,segm_map_50,segm_map_50,segm_map_50,tread_iou,tread_iou,tread_iou,tread_dice,tread_dice,tread_dice,tread_boundary_f1_2px,tread_boundary_f1_2px,tread_boundary_f1_2px,tyre_iou,tyre_iou,tyre_iou,tyre_dice,tyre_dice,tyre_dice,tyre_boundary_f1_2px,tyre_boundary_f1_2px,tyre_boundary_f1_2px
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deeplabv3plus_r34,0,0.9998154654175094,0.00031962327262709684,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.9783878771035676,0.000560296436311299,3,0.9890615006844871,0.00028662868191196947,3,0.3713708938192151,0.008829191458437831,3,0.9822244982812086,0.0007117688509094903,3,0.9910209531535598,0.00036302064801567045,3,0.4335539399972608,0.00756105023360351,3
deeplabv3plus_r34,1,0.9861243220625209,0.002883367842077014,3,1.0,0.0,3,0.9967502805282655,0.0018172278508917505,3,1.0,0.0,3,0.9717587867396681,0.0005746255399354627,3,0.9856329724970913,0.0002964260938874207,3,0.35987501428857643,0.006320642347642135,3,0.9833792359969994,0.0001341474560083944,3,0.9916112501394099,6.810706103048671e-05,3,0.45423114628370115,0.011126343173727984,3
deeplabv3plus_r34,2,0.9997477151561309,0.0004369701675606871,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.9791024530305791,0.00041873626397824525,3,0.989432179428492,0.00021365284990675602,3,0.36116809345879636,0.016286641361244327,3,0.9813532721972237,0.0006295429999247775,3,0.9905803222606169,0.0003203633557684473,3,0.38103639925731886,0.013547211837673797,3
rtdetrv2_r18,0,0.868485661701234,0.09602745462713635,3,0.8724894729676005,0.0911149437695629,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
rtdetrv2_r18,1,0.9407273096638087,0.028942711432960636,3,0.9672626993999432,0.03385901848703329,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
rtdetrv2_r18,2,0.9642605113323537,0.06044593320719597,3,0.9658761524282672,0.059104237743977106,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
segformer_b0,0,0.9948888342928587,0.004978207014176146,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.979526904630112,0.0013984141514044746,3,0.9896449750068097,0.000714636414877124,3,0.4111115407082358,0.025814497404616256,3,0.9836867892973707,0.0007369908316378643,3,0.9917641177390569,0.00037564495593157387,3,0.47022147372848183,0.024518035853506346,3
segformer_b0,1,0.9118943783830136,0.034263639537117065,3,1.0,0.0,3,0.9983585700030626,0.0017277371338396085,3,1.0,0.0,3,0.9737194300310202,0.003024881734608367,3,0.9866467937706348,0.0015642802127424278,3,0.37257912696774004,0.020991821499455245,3,0.9805976099003538,0.00288052693808441,3,0.990187117088726,0.001479806773290865,3,0.4204192676331218,0.01814547216167864,3
segformer_b0,2,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.9795705876719661,0.0001888428092534093,3,0.9896607430636851,9.79759281101123e-05,3,0.3749796535182008,0.0032290617329506057,3,0.9809669737557201,0.0007226060424332573,3,0.9903804919734243,0.0003686389934227725,3,0.3830792200582462,0.01475682956347969,3
segformer_b2,0,0.9978288599469266,0.00279253790128867,3,1.0,0.0,3,0.9991048298378225,0.00042465242735754814,3,1.0,0.0,3,0.9781403254180255,0.00027752656417497616,3,0.9889301856537295,0.00014365140208519634,3,0.3943594091357581,0.0015129188698069646,3,0.9831821065253713,6.535899424725232e-05,3,0.9915086477565849,3.3277244528175107e-05,3,0.4627893131919754,0.002073509763176643,3
segformer_b2,1,0.9765688868844976,0.026840769911115038,3,1.0,0.0,3,0.9998220915841585,0.00030814641533170574,3,1.0,0.0,3,0.9756924138913918,0.0004439111550791179,3,0.9876683069340326,0.00022764840279431743,3,0.37411519572015345,0.007660220936289697,3,0.9838947182867236,0.0003935051290786787,3,0.9918745025645063,0.00019943203876546177,3,0.4486458498224362,0.0062537613618220975,3
segformer_b2,2,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.9809393412159322,0.0006355286657894042,3,0.990370091894229,0.00032532922173313935,3,0.3729351214246124,0.011019473972823664,3,0.9821010306346194,0.0007834206178042293,3,0.9909595579239507,0.00040078777084622544,3,0.4054873835680654,0.010519079384732897,3
unet_r34,0,0.960935678331804,0.03390914683198988,3,1.0,0.0,3,0.9896309840416304,0.012772787743639541,3,1.0,0.0,3,0.9706895100158297,0.0057604032831946135,3,0.9850706533370892,0.0030064728780697884,3,0.3609086588918548,0.02649184587189867,3,0.9753607886656003,0.005861416032082156,3,0.9874708155946635,0.00304177042773788,3,0.4219474409014627,0.029115200822823987,3
unet_r34,1,0.9141277819573013,0.06131252437864945,3,1.0,0.0,3,0.9970390293138113,0.0022894059919618404,3,1.0,0.0,3,0.9721610796648452,0.0007156610405597756,3,0.985839404612089,0.0003709456883177611,3,0.3581999794259358,0.012732193921594812,3,0.9835047342173323,0.0005115050515362794,3,0.9916744418701672,0.0002606776944723112,3,0.45123282862661734,0.02438693629050072,3
unet_r34,2,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.9793167220406286,0.0008029021954085254,3,0.9895360111010586,0.00040938269690470307,3,0.3452832430703305,0.015086110942030004,3,0.9809655730716331,0.0015404222967626434,3,0.9903819572687591,0.0007850304112471685,3,0.378141623292886,0.025138084677864072,3
yolo26n_det,0,0.9837518793845539,0.015268918176823154,3,0.987123364686342,0.01567774785068079,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
yolo26n_det,1,0.952777708552742,0.002139341507044589,3,0.9896910052953318,0.007255182641440556,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
yolo26n_det,2,0.9837379878977041,0.00993379639501598,3,0.9850657930305089,0.00960078312498326,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
yolo26n_seg,0,0.982663931389307,0.010631304891730779,3,0.9839840059836583,0.010312133146808126,3,0.9839840059836584,0.010312133146808056,3,0.9839840059836583,0.010312133146808126,3,0.9073211922795145,0.050490193209968066,3,0.9176858904636792,0.05079011978075728,3,0.2990729314039966,0.036046736486810754,3,0.9509896323305869,0.0271594813499965,3,0.9610389965291001,0.02737194768009265,3,0.3213636210529624,0.0033445778742778906,3
yolo26n_seg,1,0.9520417973171306,0.0032541876167666377,3,0.9856387923853102,0.00122665948008613,3,0.9589016332740704,0.0030834785721464116,3,0.9856387923853102,0.00122665948008613,3,0.858153276605273,0.07545986148756588,3,0.8765220908221085,0.07682632462811616,3,0.18925554039301584,0.042868103479831166,3,0.8960320815760751,0.1354679942962841,3,0.9074951153984817,0.13761283591036555,3,0.2151282354640542,0.04719198078760546,3
yolo26n_seg,2,0.9880312072581355,0.012992930871422266,3,0.9897403568139893,0.013842792441441067,3,0.9893242885128378,0.013928369153728892,3,0.9897403568139893,0.013842792441441067,3,0.9158414519739332,0.06179976770900762,3,0.9273075953030102,0.0621874280304863,3,0.2908371928687358,0.03509610907127084,3,0.9318585841354161,0.08290563770299261,3,0.941774830581244,0.08309420351582208,3,0.3337123688899353,0.04580086654788718,3
yolo26s_det,0,0.9965465119284828,0.002151780710077088,3,0.9980459836444885,0.0023537716479120566,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
yolo26s_det,1,0.9608126529104225,0.003264047545097132,3,0.9996981418897639,0.0005228335836056283,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
yolo26s_det,2,0.9974904628166286,0.000416637598250741,3,1.0,0.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
yolo26s_seg,0,0.9943429315375631,0.004490783338825649,3,0.997695619316652,0.0026155358617645677,3,0.997695619316652,0.0026155358617645677,3,0.997695619316652,0.0026155358617645677,3,0.9756270632576863,0.00036755424326878177,3,0.9876497126607151,0.00018944979340679494,3,0.31555720538303883,0.014203446336898932,3,0.9800605062594987,0.0005163479735423647,3,0.9899159159403629,0.00026381334806383595,3,0.38793671260320517,0.005198876072268769,3
yolo26s_seg,1,0.9522669507736533,0.008701253724863436,3,0.9914882288611143,0.012873978088681863,3,0.9621484753594934,0.010159057149926081,3,0.9914882288611143,0.012873978088681863,3,0.8562726372230084,0.16288985747903253,3,0.8742917590815217,0.1671014192098782,3,0.22623251131524783,0.04648755121907951,3,0.9720475457174333,0.010542788550215098,3,0.9832775137630626,0.00978658998912373,3,0.29987891930134697,0.047945627072759636,3
yolo26s_seg,2,0.9861799757918872,0.011821694970444078,3,0.9964113489090126,0.006134064030243094,3,0.9921120185493545,0.012753311993581578,3,0.9964113489090126,0.006134064030243094,3,0.9473927370794509,0.04458795411055494,3,0.962194543655395,0.041862348748347815,3,0.27468862514447784,0.04786616760320456,3,0.9714021447119618,0.010995715199667288,3,0.982359645825457,0.011031856025746882,3,0.3516422717253427,0.012920449746339558,3
