model,backend,fold,seed,run_id,mode,macro_f1,accuracy,fallback_count,n,delta_macro_f1_vs_full
unet_r34,semantic,0,1,unet_r34-f0-s1,full,1.0,1.0,0,186,0.0
unet_r34,semantic,0,1,unet_r34-f0-s1,oracle_tread,1.0,1.0,0,186,0.0
unet_r34,semantic,0,1,unet_r34-f0-s1,oracle_tyre,1.0,1.0,0,186,0.0
unet_r34,semantic,0,1,unet_r34-f0-s1,pred_tread,1.0,1.0,0,186,0.0
unet_r34,semantic,0,1,unet_r34-f0-s1,pred_tyre,1.0,1.0,0,186,0.0
unet_r34,semantic,0,2,unet_r34-f0-s2,full,1.0,1.0,0,186,0.0
unet_r34,semantic,0,2,unet_r34-f0-s2,oracle_tread,1.0,1.0,0,186,0.0
unet_r34,semantic,0,2,unet_r34-f0-s2,oracle_tyre,1.0,1.0,0,186,0.0
unet_r34,semantic,0,2,unet_r34-f0-s2,pred_tread,1.0,1.0,0,186,0.0
unet_r34,semantic,0,2,unet_r34-f0-s2,pred_tyre,1.0,1.0,0,186,0.0
unet_r34,semantic,0,3,unet_r34-f0-s3,full,1.0,1.0,0,186,0.0
unet_r34,semantic,0,3,unet_r34-f0-s3,oracle_tread,1.0,1.0,0,186,0.0
unet_r34,semantic,0,3,unet_r34-f0-s3,oracle_tyre,1.0,1.0,0,186,0.0
unet_r34,semantic,0,3,unet_r34-f0-s3,pred_tread,1.0,1.0,0,186,0.0
unet_r34,semantic,0,3,unet_r34-f0-s3,pred_tyre,1.0,1.0,0,186,0.0
unet_r34,semantic,1,1,unet_r34-f1-s1,full,0.6203703703703703,0.84375,0,128,0.0
unet_r34,semantic,1,1,unet_r34-f1-s1,oracle_tread,0.6203703703703703,0.84375,0,128,0.0
unet_r34,semantic,1,1,unet_r34-f1-s1,oracle_tyre,0.6203703703703703,0.84375,0,128,0.0
unet_r34,semantic,1,1,unet_r34-f1-s1,pred_tread,0.6203703703703703,0.84375,0,128,0.0
unet_r34,semantic,1,1,unet_r34-f1-s1,pred_tyre,0.6203703703703703,0.84375,0,128,0.0
unet_r34,semantic,1,2,unet_r34-f1-s2,full,0.7533647706061499,0.84375,0,128,0.0
unet_r34,semantic,1,2,unet_r34-f1-s2,oracle_tread,0.2843084047903325,0.3671875,0,128,-0.4690563658158174
unet_r34,semantic,1,2,unet_r34-f1-s2,oracle_tyre,0.3149583692219351,0.390625,0,128,-0.4384064013842148
unet_r34,semantic,1,2,unet_r34-f1-s2,pred_tread,0.3149583692219351,0.390625,0,128,-0.4384064013842148
unet_r34,semantic,1,2,unet_r34-f1-s2,pred_tyre,0.2946608946608946,0.375,0,128,-0.4587038759452553
unet_r34,semantic,1,3,unet_r34-f1-s3,full,0.7396825396825397,0.875,0,128,0.0
unet_r34,semantic,1,3,unet_r34-f1-s3,oracle_tread,1.0,1.0,0,128,0.2603174603174603
unet_r34,semantic,1,3,unet_r34-f1-s3,oracle_tyre,1.0,1.0,0,128,0.2603174603174603
unet_r34,semantic,1,3,unet_r34-f1-s3,pred_tread,0.9887863247863248,0.9921875,0,128,0.249103785103785
unet_r34,semantic,1,3,unet_r34-f1-s3,pred_tyre,0.9887863247863248,0.9921875,0,128,0.249103785103785
unet_r34,semantic,2,1,unet_r34-f2-s1,full,1.0,1.0,0,104,0.0
unet_r34,semantic,2,1,unet_r34-f2-s1,oracle_tread,1.0,1.0,0,104,0.0
unet_r34,semantic,2,1,unet_r34-f2-s1,oracle_tyre,1.0,1.0,0,104,0.0
unet_r34,semantic,2,1,unet_r34-f2-s1,pred_tread,1.0,1.0,0,104,0.0
unet_r34,semantic,2,1,unet_r34-f2-s1,pred_tyre,1.0,1.0,0,104,0.0
unet_r34,semantic,2,2,unet_r34-f2-s2,full,0.5,0.6153846153846154,0,104,0.0
unet_r34,semantic,2,2,unet_r34-f2-s2,oracle_tread,0.5,0.6153846153846154,0,104,0.0
unet_r34,semantic,2,2,unet_r34-f2-s2,oracle_tyre,0.5,0.6153846153846154,0,104,0.0
unet_r34,semantic,2,2,unet_r34-f2-s2,pred_tread,0.5,0.6153846153846154,0,104,0.0
