model,fold,arm,n_seeds,mean_f1,mean_delta,std_delta
deeplabv3plus_r34,0,full,3,1.0,0.0,0.0
deeplabv3plus_r34,0,full_tyre_tread_equal,3,1.0,0.0,0.0
deeplabv3plus_r34,0,tread_only,3,1.0,0.0,0.0
deeplabv3plus_r34,0,tyre_only,3,1.0,0.0,0.0
deeplabv3plus_r34,0,tyre_tread_equal,3,1.0,0.0,0.0
deeplabv3plus_r34,1,full,3,0.7044725602196866,0.0,0.0
deeplabv3plus_r34,1,full_tyre_tread_equal,3,0.6406581226720723,-0.0638144375476143,0.3258586723022806
deeplabv3plus_r34,1,tread_only,3,0.6476672846626185,-0.05680527555706825,0.33700412345806163
deeplabv3plus_r34,1,tyre_only,3,0.6374979582173924,-0.06697460200229421,0.34288581477053975
deeplabv3plus_r34,1,tyre_tread_equal,3,0.6484296359954326,-0.056042924224254144,0.347785082085782
deeplabv3plus_r34,2,full,3,0.8333333333333334,0.0,0.0
deeplabv3plus_r34,2,full_tyre_tread_equal,3,0.8394566224143255,0.006123289080992096,0.010605847797710049
deeplabv3plus_r34,2,tread_only,3,0.8564593301435407,0.023125996810207328,0.04005540145095488
deeplabv3plus_r34,2,tyre_only,3,0.8333333333333334,0.0,0.0
deeplabv3plus_r34,2,tyre_tread_equal,3,0.8453398453398453,0.012006512006512001,0.020795888816964533
rtdetrv2_r18,0,full,3,1.0,0.0,0.0
rtdetrv2_r18,0,full_tyre_tread_equal,3,1.0,0.0,0.0
rtdetrv2_r18,0,tread_only,3,1.0,0.0,0.0
rtdetrv2_r18,0,tyre_only,3,1.0,0.0,0.0
rtdetrv2_r18,0,tyre_tread_equal,3,1.0,0.0,0.0
rtdetrv2_r18,1,full,3,0.7044725602196866,0.0,0.0
rtdetrv2_r18,1,full_tyre_tread_equal,3,0.6740874131313505,-0.03038514708833621,0.136192598227532
rtdetrv2_r18,1,tread_only,3,0.5549759625222838,-0.14949659769740284,0.25893570277058614
rtdetrv2_r18,1,tyre_only,3,0.7888775620659678,0.08440500184628119,0.15238604266795994
rtdetrv2_r18,1,tyre_tread_equal,3,0.6598686014573866,-0.044603958762300146,0.22699884646308172
rtdetrv2_r18,2,full,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,full_tyre_tread_equal,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,tread_only,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,tyre_only,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,tyre_tread_equal,3,0.8333333333333334,0.0,0.0
segformer_b0,0,full,3,1.0,0.0,0.0
segformer_b0,0,full_tyre_tread_equal,3,1.0,0.0,0.0
segformer_b0,0,tread_only,3,1.0,0.0,0.0
segformer_b0,0,tyre_only,3,1.0,0.0,0.0
segformer_b0,0,tyre_tread_equal,3,1.0,0.0,0.0
segformer_b0,1,full,3,0.7044725602196866,0.0,0.0
segformer_b0,1,full_tyre_tread_equal,3,0.6801110547381475,-0.024361505481539092,0.29760847552364184
segformer_b0,1,tread_only,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
segformer_b0,1,tyre_only,3,0.6419348389227907,-0.06253772129689594,0.3582416255089636
segformer_b0,1,tyre_tread_equal,3,0.6417484492947706,-0.06272411092491609,0.35854241895489924
