frame_id,video_id,target_seconds,relative_path,keep,reason,physical_tyre_id,mileage_proxy,notes
phase2_video1_t0000000_f000000,video1,0.0,data/new_frames/video1/phase2_video1_t0000000_f000000.png,,,,,
phase2_video1_t0000500_f000015,video1,0.5,data/new_frames/video1/phase2_video1_t0000500_f000015.png,,,,,
phase2_video1_t0001000_f000030,video1,1.0,data/new_frames/video1/phase2_video1_t0001000_f000030.png,,,,,
phase2_video1_t0001500_f000045,video1,1.5,data/new_frames/video1/phase2_video1_t0001500_f000045.png,,,,,
phase2_video1_t0002000_f000060,video1,2.0,data/new_frames/video1/phase2_video1_t0002000_f000060.png,,,,,
phase2_video1_t0002500_f000075,video1,2.5,data/new_frames/video1/phase2_video1_t0002500_f000075.png,,,,,
phase2_video1_t0003000_f000091,video1,3.0,data/new_frames/video1/phase2_video1_t0003000_f000091.png,,,,,
phase2_video1_t0003500_f000106,video1,3.5,data/new_frames/video1/phase2_video1_t0003500_f000106.png,,,,,
phase2_video1_t0004000_f000121,video1,4.0,data/new_frames/video1/phase2_video1_t0004000_f000121.png,,,,,
phase2_video1_t0004500_f000136,video1,4.5,data/new_frames/video1/phase2_video1_t0004500_f000136.png,,,,,
phase2_video1_t0005000_f000151,video1,5.0,data/new_frames/video1/phase2_video1_t0005000_f000151.png,,,,,
phase2_video1_t0005500_f000166,video1,5.5,data/new_frames/video1/phase2_video1_t0005500_f000166.png,,,,,
phase2_video1_t0006000_f000181,video1,6.0,data/new_frames/video1/phase2_video1_t0006000_f000181.png,,,,,
phase2_video1_t0006500_f000196,video1,6.5,data/new_frames/video1/phase2_video1_t0006500_f000196.png,,,,,
phase2_video1_t0007000_f000211,video1,7.0,data/new_frames/video1/phase2_video1_t0007000_f000211.png,,,,,
phase2_video1_t0007500_f000226,video1,7.5,data/new_frames/video1/phase2_video1_t0007500_f000226.png,,,,,
phase2_video1_t0008000_f000241,video1,8.0,data/new_frames/video1/phase2_video1_t0008000_f000241.png,,,,,
phase2_video1_t0008500_f000256,video1,8.5,data/new_frames/video1/phase2_video1_t0008500_f000256.png,,,,,
phase2_video1_t0009000_f000271,video1,9.0,data/new_frames/video1/phase2_video1_t0009000_f000271.png,,,,,
phase2_video1_t0009500_f000286,video1,9.5,data/new_frames/video1/phase2_video1_t0009500_f000286.png,,,,,
phase2_video1_t0010000_f000301,video1,10.0,data/new_frames/video1/phase2_video1_t0010000_f000301.png,,,,,
phase2_video1_t0010500_f000316,video1,10.5,data/new_frames/video1/phase2_video1_t0010500_f000316.png,,,,,
